N-gram,Count,Book
he,386,14
Jehovah,380,14
his,340,14
they,279,14
for,273,14
all,246,14
him,240,14
king,228,14
was,214,14
them,207,14
house,205,14
Israel,187,14
God,178,14
Judah,161,14
had,145,14
their,141,14
not,136,14
Jerusalem,127,14
it,112,14
thy,110,14
people,106,14
son,104,14
were,104,14
made,103,14
from,99,14
came,93,14
have,90,14
said,90,14
I,88,14
thou,86,14
against,83,14
Solomon,81,14
which,80,14
before,79,14
up,77,14
at,76,14
is,75,14
upon,75,14
this,74,14
David,73,14
when,72,14
priests,70,14
fathers,69,14
thee,69,14
there,69,14
brought,65,14
shall,65,14
my,63,14
Levites,62,14
kings,61,14
hand,58,14
hundred,58,14
thousand,56,14
did,53,14
father,53,14
children,52,14
years,52,14
land,51,14
who,51,14
ye,51,14
men,49,14
are,48,14
sons,47,14
will,47,14
gold,46,14
saying,46,14
went,46,14
according,44,14
name,44,14
cities,43,14
me,43,14
great,42,14
you,42,14
Hezekiah,41,14
Jehoshaphat,41,14
man,40,14
set,40,14
built,39,14
reigned,39,14
took,39,14
city,38,14
heart,37,14
himself,37,14
place,37,14
day,36,14
over,36,14
your,36,14
gave,35,14
put,35,14
also,34,14
reign,34,14
every,33,14
hast,33,14
because,32,14
behold,32,14
began,31,14
away,30,14
come,30,14
do,30,14
three,30,14
down,29,14
no,29,14
old,29,14
our,29,14
sent,29,14
Asa,28,14
Rehoboam,28,14
days,28,14
servants,28,14
year,28,14
go,27,14
one,27,14
congregation,26,14
stood,26,14
altar,25,14
its,25,14
princes,25,14
themselves,25,14
written,25,14
cubits,24,14
forth,24,14
has,24,14
two,24,14
now,23,14
spoke,23,14
book,22,14
captains,22,14
heavens,22,14
high,22,14
kingdom,22,14
seven,22,14
again,21,14
brethren,21,14
burntofferings,21,14
inhabitants,21,14
left,21,14
let,21,14
pass,21,14
right,21,14
sight,21,14
twenty,21,14
us,21,14
vessels,21,14
words,21,14
Amaziah,20,14
Jehoiada,20,14
carried,20,14
much,20,14
nor,20,14
silver,20,14
toward,20,14
Egypt,19,14
Jeroboam,19,14
Manasseh,19,14
her,19,14
priest,19,14
she,19,14
so,19,14
among,18,14
build,18,14
evil,18,14
five,18,14
found,18,14
give,18,14
gods,18,14
good,18,14
if,18,14
or,18,14
service,18,14
war,18,14
Josiah,17,14
abundance,17,14
done,17,14
first,17,14
gathered,17,14
given,17,14
law,17,14
make,17,14
places,17,14
rest,17,14
stead,17,14
these,17,14
until,17,14
work,17,14
Ephraim,16,14
buried,16,14
covenant,16,14
may,16,14
own,16,14
prophet,16,14
smote,16,14
things,16,14
those,16,14
time,16,14
word,16,14
Abijah,15,14
Then,15,14
Thus,15,14
acts,15,14
commanded,15,14
even,15,14
hallowed,15,14
