N-gram,Count,Book
shall,256,27
his,178,27
he,160,27
king,152,27
was,116,27
I,114,27
it,93,27
for,90,27
him,81,27
thy,79,27
Daniel,75,27
is,75,27
me,75,27
not,71,27
my,67,27
they,66,27
all,61,27
thee,59,27
God,58,27
said,58,27
which,57,27
kingdom,56,27
up,55,27
before,53,27
them,52,27
O,49,27
have,49,27
Then,47,27
thou,45,27
upon,45,27
from,43,27
great,41,27
men,41,27
came,39,27
had,37,27
this,35,27
kings,34,27
Nebuchadnezzar,32,27
against,32,27
heaven,32,27
were,32,27
time,31,27
come,30,27
interpretation,30,27
even,29,27
there,29,27
at,28,27
make,28,27
set,28,27
end,27,27
made,27,27
people,27,27
will,26,27
are,25,27
days,25,27
one,25,27
stand,25,27
whom,25,27
dream,24,27
their,24,27
these,24,27
over,23,27
spoke,23,27
nor,22,27
our,22,27
vision,22,27
earth,21,27
hand,21,27
known,21,27
like,21,27
man,21,27
down,20,27
hath,20,27
iron,20,27
no,20,27
when,20,27
many,19,27
who,19,27
whose,19,27
ye,19,27
brought,18,27
dominion,18,27
its,18,27
princes,18,27
saw,18,27
show,18,27
Babylon,17,27
answered,17,27
behold,17,27
cast,17,27
most,17,27
decree,16,27
do,16,27
ever,16,27
forth,16,27
hast,16,27
holy,16,27
image,16,27
times,16,27
wise,16,27
Abednego,15,27
Meshach,15,27
Shadrach,15,27
beasts,15,27
given,15,27
gods,15,27
let,15,27
prince,15,27
should,15,27
strong,15,27
three,15,27
words,15,27
Lord,14,27
face,14,27
found,14,27
four,14,27
gold,14,27
heart,14,27
know,14,27
might,14,27
stood,14,27
till,14,27
us,14,27
Now,13,27
commanded,13,27
first,13,27
power,13,27
thing,13,27
any,12,27
because,12,27
changed,12,27
children,12,27
head,12,27
land,12,27
neither,12,27
pass,12,27
pieces,12,27
therefore,12,27
things,12,27
understanding,12,27
Chaldeans,11,27
also,11,27
another,11,27
away,11,27
fall,11,27
heard,11,27
midst,11,27
south,11,27
ten,11,27
towards,11,27
two,11,27
voice,11,27
wisdom,11,27
would,11,27
Belteshazzar,10,27
High,10,27
Jerusalem,10,27
according,10,27
brass,10,27
burning,10,27
deliver,10,27
den,10,27
destroy,10,27
eyes,10,27
fiery,10,27
furnace,10,27
horns,10,27
name,10,27
now,10,27
own,10,27
part,10,27
spirit,10,27
strength,10,27
then,10,27
understand,10,27
visions,10,27
whole,10,27
worship,10,27
writing,10,27
yet,10,27
clay,9,27
concerning,9,27
fathers,9,27
gave,9,27
himself,9,27
horn,9,27
house,9,27
lions,9,27
return,9,27
silver,9,27
than,9,27
went,9,27
year,9,27
Belshazzar,8,27
Darius,8,27
He,8,27
Therefore,8,27
art,8,27
bring,8,27
cause,8,27
certain,8,27
feet,8,27
field,8,27
fire,8,27
give,8,27
god,8,27
golden,8,27
honor,8,27
if,8,27
lord,8,27
matter,8,27
mouth,8,27
none,8,27
north,8,27
or,8,27
other,8,27
ram,8,27
river,8,27
same,8,27
sawest,8,27
servants,8,27
so,8,27
thousand,8,27
troubled,8,27
truth,8,27
wine,8,27
Judah,7,27
LORD,7,27
So,7,27
among,7,27
appointed,7,27
army,7,27
astrologers,7,27
broke,7,27
broken,7,27
covenant,7,27
done,7,27
eunuchs,7,27
everlasting,7,27
fell,7,27
fourth,7,27
glory,7,27
grass,7,27
ground,7,27
hear,7,27
law,7,27
lifted,7,27
mighty,7,27
near,7,27
palace,7,27
portion,7,27
province,7,27
secret,7,27
serve,7,27
speak,7,27
taken,7,27
third,7,27
years,7,27
your,7,27
Persia,6,27
This,6,27
Thou,6,27
able,6,27
beast,6,27
became,6,27
bed,6,27
beheld,6,27
can,6,27
clothed,6,27
counselors,6,27
cut,6,27
daily,6,27
day,6,27
did,6,27
drank,6,27
every,6,27
father,6,27
languages,6,27
lords,6,27
magicians,6,27
multitude,6,27
nations,6,27
night,6,27
reign,6,27
ruler,6,27
sacrifice,6,27
saints,6,27
sanctuary,6,27
seen,6,27
seven,6,27
shalt,6,27
stone,6,27
take,6,27
those,6,27
thoughts,6,27
thus,6,27
touched,6,27
tree,6,27
under,6,27
vessels,6,27
weeks,6,27
Arioch,5,27
Azariah,5,27
Hananiah,5,27
Medes,5,27
Mishael,5,27
am,5,27
arms,5,27
assembled,5,27
being,5,27
between,5,27
body,5,27
called,5,27
city,5,27
could,5,27
countenance,5,27
desolate,5,27
destroyed,5,27
dew,5,27
diverse,5,27
enter,5,27
excellent,5,27
flesh,5,27
food,5,27
forasmuch,5,27
fury,5,27
governors,5,27
her,5,27
high,5,27
host,5,27
hour,5,27
knowledge,5,27
live,5,27
maketh,5,27
more,5,27
mountain,5,27
music,5,27
presidents,5,27
read,5,27
righteousness,5,27
roots,5,27
sent,5,27
side,5,27
slain,5,27
sleep,5,27
son,5,27
speaking,5,27
strengthened,5,27
such,5,27
tell,5,27
told,5,27
turn,5,27
very,5,27
wet,5,27
whereas,5,27
word,5,27
written,5,27
you,5,27
