N-gram,Count,Version
in the book of the chronicles of the kings of,34,wbt
written in the book of the chronicles of the kings,34,wbt
are they not written in the book of the chronicles,29,wbt
not written in the book of the chronicles of the,29,wbt
they not written in the book of the chronicles of,29,wbt
years old when he began to reign and he reigned,24,wbt
did that which was evil in the sight of the,19,wbt
that which was evil in the sight of the LORD,19,wbt
he did that which was evil in the sight of,18,wbt
the book of the chronicles of the kings of Israel,18,wbt
Thus saith the LORD of hosts the God of Israel,17,wbt
And it shall come to pass in that day that,16,wbt
And he did that which was evil in the sight,15,wbt
that which was right in the sight of the LORD,15,wbt
the book of the chronicles of the kings of Judah,15,wbt
did are they not written in the book of the,14,wbt
he did are they not written in the book of,14,wbt
made by fire of a sweet savor to the LORD,14,wbt
Speak to the children of Israel and say to them,13,wbt
and upward all that were able to go forth to,13,wbt
from twenty years old and upward all that were able,13,wbt
old and upward all that were able to go forth,13,wbt
twenty years old and upward all that were able to,13,wbt
upward all that were able to go forth to war,13,wbt
years old and upward all that were able to go,13,wbt
And for a sacrifice of peaceofferings two oxen five rams,12,wbt
And the word of the LORD came to me saying,12,wbt
One young bullock one ram one lamb of the first,12,wbt
Those that were numbered of them even of the tribe,12,wbt
a sacrifice of peaceofferings two oxen five rams five hegoats,12,wbt
after their families by the house of their fathers according,12,wbt
bowl of seventy shekels after the shekel of the sanctuary,12,wbt
bullock one ram one lamb of the first year for,12,wbt
by the house of their fathers according to the number,12,wbt
did that which was right in the sight of the,12,wbt
families by the house of their fathers according to the,12,wbt
five hegoats five lambs of the first year this was,12,wbt
five lambs of the first year this was the offering,12,wbt
five rams five hegoats five lambs of the first year,12,wbt
for a sacrifice of peaceofferings two oxen five rams five,12,wbt
full of fine flour mingled with oil for a meatoffering,12,wbt
generations after their families by the house of their fathers,12,wbt
hegoats five lambs of the first year this was the,12,wbt
house of their fathers according to the number of the,12,wbt
lambs of the first year this was the offering of,12,wbt
of peaceofferings two oxen five rams five hegoats five lambs,12,wbt
of seventy shekels after the shekel of the sanctuary both,12,wbt
of their fathers according to the number of the names,12,wbt
one ram one lamb of the first year for a,12,wbt
oxen five rams five hegoats five lambs of the first,12,wbt
peaceofferings two oxen five rams five hegoats five lambs of,12,wbt
ram one lamb of the first year for a burntoffering,12,wbt
