N-gram,Count,Book
the Philistines,117,9
said unto,114,9
the people,96,9
all the,80,9
of Jehovah,77,9
And Saul,75,9
of Israel,73,9
And David,72,9
and he,71,9
And he,67,9
came to,65,9
and said,60,9
and his,51,9
And when,49,9
and they,49,9
And Samuel,47,9
I have,46,9
I will,44,9
the king,43,9
he said,42,9
him and,41,9
to pass,41,9
son of,40,9
the men,40,9
Saul said,39,9
the ark,39,9
unto him,39,9
And it,38,9
And they,38,9
David and,38,9
ark of,38,9
Saul and,37,9
the son,37,9
men of,36,9
hand of,35,9
said to,35,9
that he,35,9
that were,35,9
the hand,35,9
of God,33,9
thee and,33,9
it came,32,9
this day,32,9
unto Jehovah,32,9
and I,30,9
that I,30,9
thou shalt,30,9
David said,29,9
Jehovah and,28,9
for the,28,9
of his,28,9
Samuel said,27,9
unto thee,27,9
when the,27,9
for he,26,9
his hand,26,9
in his,26,9
the land,26,9
to his,26,9
my lord,25,9
that thou,25,9
the Philistine,25,9
the man,25,9
there was,25,9
with him,25,9
his men,24,9
upon the,24,9
I pray,23,9
Then said,23,9
a man,23,9
and all,23,9
and there,23,9
shall be,23,9
that day,23,9
the city,23,9
And Jonathan,22,9
all that,22,9
he had,22,9
me and,22,9
thou hast,22,9
And Jehovah,21,9
and came,21,9
and went,21,9
it was,21,9
of Saul,21,9
pray thee,21,9
were in,21,9
Jehovah hath,20,9
Philistines and,20,9
and David,20,9
arose and,20,9
before Jehovah,20,9
come to,20,9
my hand,20,9
of thy,20,9
God of,19,9
unto me,19,9
upon his,19,9
Israel and,18,9
and Saul,18,9
man of,18,9
of all,18,9
the God,18,9
the house,18,9
the wilderness,18,9
they were,18,9
to David,18,9
to him,18,9
went to,18,9
young men,18,9
and Jehovah,17,9
from the,17,9
that is,17,9
the morning,17,9
the priest,17,9
them that,17,9
unto Saul,17,9
against the,16,9
all Israel,16,9
and let,16,9
he is,16,9
he was,16,9
house of,16,9
in my,16,9
land of,16,9
name of,16,9
that they,16,9
the name,16,9
there is,16,9
to Saul,16,9
to me,16,9
unto his,16,9
Now therefore,15,9
children of,15,9
down to,15,9
every man,15,9
hand and,15,9
he hath,15,9
he will,15,9
his servants,15,9
my father,15,9
pass when,15,9
shall not,15,9
the children,15,9
the earth,15,9
thy servant,15,9
up to,15,9
were with,15,9
I am,14,9
king of,14,9
me to,14,9
men and,14,9
said I,14,9
that was,14,9
the battle,14,9
they said,14,9
to them,14,9
was in,14,9
went out,14,9
went up,14,9
when he,14,9
when they,14,9
will not,14,9
with me,14,9
ye shall,14,9
Jehovah was,13,9
Saul was,13,9
a king,13,9
and brought,13,9
and when,13,9
him for,13,9
his house,13,9
man that,13,9
my son,13,9
of David,13,9
saw that,13,9
the camp,13,9
the field,13,9
the woman,13,9
the young,13,9
they went,13,9
thy handmaid,13,9
was a,13,9
with his,13,9
with thee,13,9
Jehovah said,12,9
Jehovah will,12,9
Jonathan and,12,9
and it,12,9
came and,12,9
cut off,12,9
for ever,12,9
for thou,12,9
his armorbearer,12,9
of my,12,9
of them,12,9
one of,12,9
people and,12,9
that Saul,12,9
that which,12,9
the Amalekites,12,9
the ground,12,9
the kings,12,9
the priests,12,9
them and,12,9
they came,12,9
to all,12,9
told him,12,9
we will,12,9
And she,11,9
I may,11,9
among the,11,9
before the,11,9
have I,11,9
his head,11,9
his sons,11,9
in thy,11,9
king over,11,9
not be,11,9
of Benjamin,11,9
people that,11,9
smote the,11,9
the day,11,9
the voice,11,9
them to,11,9
they had,11,9
thy hand,11,9
to meet,11,9
unto David,11,9
unto them,11,9
up the,11,9
