N-gram,Count,Version
shall be,2203,dby
all the,2021,dby
I will,1941,dby
And he,1802,dby
said to,1727,dby
of Israel,1676,dby
of Jehovah,1503,dby
and he,1499,dby
and they,1424,dby
the king,1322,dby
son of,1318,dby
for the,1292,dby
the land,1285,dby
to him,1285,dby
children of,1247,dby
the son,1216,dby
from the,1190,dby
the children,1181,dby
the house,1124,dby
I have,1111,dby
of his,1078,dby
the people,1047,dby
And they,1006,dby
and I,969,dby
thou shalt,969,dby
according to,939,dby
came to,934,dby
house of,901,dby
and all,884,dby
to them,859,dby
and his,858,dby
of God,853,dby
king of,850,dby
the earth,830,dby
they shall,808,dby
that he,798,dby
he said,792,dby
him and,783,dby
and said,761,dby
the Lord,755,dby
I am,752,dby
that I,737,dby
of thy,726,dby
shall not,683,dby
thou hast,674,dby
he shall,672,dby
sons of,670,dby
upon the,668,dby
And I,660,dby
them and,660,dby
it is,658,dby
And it,650,dby
to pass,648,dby
land of,644,dby
at the,642,dby
in his,642,dby
is the,629,dby
that they,624,dby
ye shall,618,dby
saith Jehovah,608,dby
that is,595,dby
it shall,578,dby
the sons,560,dby
of them,540,dby
the city,526,dby
of Judah,524,dby
to his,517,dby
all that,515,dby
of my,512,dby
me and,506,dby
Jehovah and,489,dby
that thou,479,dby
he that,475,dby
to you,472,dby
thee and,470,dby
a man,467,dby
and their,467,dby
which is,466,dby
to me,465,dby
with him,464,dby
the word,463,dby
And Jehovah,457,dby
the kings,455,dby
for a,447,dby
it came,445,dby
the nations,445,dby
God of,444,dby
of their,441,dby
before the,439,dby
he had,438,dby
the heavens,433,dby
to Jehovah,426,dby
and thou,425,dby
of all,425,dby
unto me,424,dby
of Egypt,421,dby
come to,419,dby
hand of,416,dby
the day,416,dby
him that,415,dby
he was,409,dby
it and,409,dby
the hand,402,dby
them that,397,dby
among the,396,dby
it was,393,dby
the God,392,dby
that were,390,dby
the midst,376,dby
word of,374,dby
and it,369,dby
and for,365,dby
the men,364,dby
the priest,364,dby
they have,364,dby
not be,363,dby
Israel and,360,dby
And when,359,dby
men of,359,dby
is not,358,dby
and thy,354,dby
is in,352,dby
God and,350,dby
there is,349,dby
thy God,349,dby
to thee,349,dby
will I,349,dby
is a,348,dby
and there,347,dby
that are,347,dby
the way,347,dby
and its,345,dby
midst of,344,dby
and shall,343,dby
and ye,343,dby
shall come,342,dby
he hath,341,dby
when he,341,dby
ye have,338,dby
And thou,333,dby
that ye,332,dby
will not,331,dby
for ever,329,dby
to all,326,dby
they were,322,dby
in thy,321,dby
there was,318,dby
up to,317,dby
know that,315,dby
they are,314,dby
in their,308,dby
Jehovah thy,307,dby
over the,307,dby
have not,305,dby
he is,305,dby
he will,305,dby
the man,305,dby
Lord Jehovah,304,dby
this day,302,dby
these things,301,dby
one of,299,dby
against the,298,dby
to their,295,dby
which he,295,dby
the name,294,dby
name of,290,dby
the sea,290,dby
and behold,288,dby
those that,288,dby
the days,287,dby
them to,287,dby
for I,286,dby
him to,286,dby
of hosts,286,dby
every one,285,dby
for he,285,dby
spoke to,284,dby
are the,283,dby
the whole,282,dby
Jehovah of,281,dby
hundred and,281,dby
Thus saith,280,dby
the sword,280,dby
and my,279,dby
the priests,279,dby
up and,278,dby
with thee,277,dby
the altar,275,dby
when the,275,dby
round about,274,dby
and let,273,dby
in all,273,dby
you and,272,dby
say to,271,dby
all his,269,dby
his hand,269,dby
in my,269,dby
unto thee,269,dby
did not,268,dby
shalt thou,266,dby
the wilderness,264,dby
day of,263,dby
unto them,263,dby
saith the,260,dby
Jehovah the,259,dby
may be,258,dby
which I,257,dby
do not,255,dby
of David,255,dby
of man,255,dby
before Jehovah,254,dby
to do,254,dby
with them,252,dby
the law,251,dby
because of,249,dby
unto you,249,dby
shalt not,248,dby
for they,247,dby
the Philistines,246,dby
and will,245,dby
the Levites,245,dby
And David,244,dby
And all,242,dby
days of,241,dby
the wicked,239,dby
with his,239,dby
it to,238,dby
have been,237,dby
his son,237,dby
not the,237,dby
Judah and,236,dby
so that,236,dby
and went,235,dby
his own,234,dby
that day,233,dby
of it,232,dby
of your,232,dby
a great,231,dby
as he,230,dby
we have,228,dby
when they,228,dby
says to,226,dby
hand and,225,dby
house and,223,dby
said unto,223,dby
the first,223,dby
was a,223,dby
for his,222,dby
them in,222,dby
say unto,221,dby
to her,221,dby
went out,221,dby
up the,220,dby
with me,220,dby
And Moses,219,dby
I say,219,dby
people and,219,dby
the ark,219,dby
the chief,219,dby
And there,217,dby
my people,216,dby
the other,216,dby
the tent,216,dby
thou art,216,dby
his father,215,dby
his sons,215,dby
no more,213,dby
they had,213,dby
through the,213,dby
And if,211,dby
have I,211,dby
our God,211,dby
that Jehovah,211,dby
tribe of,211,dby
Son of,209,dby
and have,209,dby
him in,207,dby
will be,207,dby
the field,206,dby
they that,206,dby
And now,205,dby
the words,205,dby
people of,204,dby
to Moses,204,dby
said I,203,dby
that which,203,dby
the kingdom,203,dby
went up,203,dby
shall ye,202,dby
of our,201,dby
the cities,201,dby
who is,200,dby
me to,199,dby
of him,199,dby
to thy,199,dby
