N-gram,Count,Book
the earth,78,66
And I,54,66
the heaven,46,66
I saw,45,66
of God,39,66
upon the,38,66
the seven,35,66
the throne,35,66
and they,34,66
the beast,31,66
I heard,27,66
And he,26,66
God and,25,66
and he,25,66
the Lamb,25,66
a great,24,66
to him,24,66
earth and,23,66
given to,23,66
him that,23,66
the sea,23,66
and I,22,66
for the,22,66
he that,22,66
the third,22,66
shall be,21,66
the great,21,66
I will,19,66
before the,19,66
from the,19,66
was given,19,66
and his,18,66
that they,18,66
the angel,18,66
the four,17,66
thou hast,17,66
to me,17,66
and shall,16,66
of life,16,66
says to,16,66
the first,16,66
is the,15,66
of his,15,66
part of,15,66
these things,15,66
third part,15,66
And when,14,66
He that,14,66
a loud,14,66
and there,14,66
let him,14,66
of her,14,66
of their,14,66
that has,14,66
that thou,14,66
there was,14,66
tribe of,14,66
voice of,14,66
I am,13,66
ages of,13,66
all the,13,66
living creatures,13,66
loud voice,13,66
no one,13,66
of ages,13,66
that sat,13,66
the nations,13,66
the tribe,13,66
the woman,13,66
throne and,13,66
twelve thousand,13,66
which are,13,66
a voice,12,66
any more,12,66
heaven and,12,66
homage to,12,66
the Spirit,12,66
the ages,12,66
the book,12,66
the city,12,66
the sun,12,66
the temple,12,66
them and,12,66
they shall,12,66
which is,12,66
and it,11,66
any one,11,66
at all,11,66
four living,11,66
it was,11,66
of fire,11,66
that dwell,11,66
the things,11,66
they should,11,66
to it,11,66
who is,11,66
and all,10,66
and behold,10,66
and its,10,66
and their,10,66
and those,10,66
and upon,10,66
beast and,10,66
fire and,10,66
full of,10,66
in his,10,66
it and,10,66
one of,10,66
our God,10,66
sat upon,10,66
saw and,10,66
the dragon,10,66
the kings,10,66
the saints,10,66
the second,10,66
them that,10,66
those that,10,66
with me,10,66
And there,9,66
Lord God,9,66
and who,9,66
angel of,9,66
come and,9,66
death and,9,66
do homage,9,66
fury of,9,66
have not,9,66
he shall,9,66
in it,9,66
kings of,9,66
of Jesus,9,66
sea and,9,66
seven angels,9,66
the Lord,9,66
the assemblies,9,66
the fury,9,66
those who,9,66
to them,9,66
upon their,9,66
And another,8,66
And it,8,66
And they,8,66
an ear,8,66
and every,8,66
and hast,8,66
and have,8,66
are they,8,66
behold a,8,66
cast out,8,66
clothed with,8,66
ear let,8,66
give to,8,66
glory and,8,66
great city,8,66
had the,8,66
has an,8,66
have been,8,66
he says,8,66
heard a,8,66
heaven saying,8,66
him hear,8,66
his name,8,66
it opened,8,66
midst of,8,66
more at,8,66
poured out,8,66
power and,8,66
right hand,8,66
said to,8,66
shall not,8,66
sits upon,8,66
that he,8,66
