N-gram,Count,Book
the house of,117,14
the son of,76,14
house of Yahweh,74,14
the God of,52,14
of the house,51,14
Yahweh the God,44,14
of Yahweh and,37,14
the children of,37,14
and all the,34,14
king of Israel,34,14
the king of,32,14
of Judah and,30,14
of the kings,27,14
according to the,25,14
the hand of,25,14
the sons of,25,14
in the house,24,14
of Israel and,24,14
the kings of,24,14
house of God,23,14
king of Judah,23,14
God of Israel,22,14
children of Israel,22,14
he began to,20,14
that which was,20,14
written in the,20,14
and he reigned,19,14
and the Levites,19,14
began to reign,19,14
in Jerusalem and,19,14
the priests and,18,14
to reign and,18,14
when he began,18,14
Judah and Jerusalem,17,14
of the king,17,14
reign and he,17,14
the inhabitants of,17,14
and said to,16,14
in his place,16,14
the cities of,16,14
the city of,16,14
the king and,16,14
God of their,15,14
did that which,15,14
of their fathers,15,14
old when he,15,14
the book of,15,14
the land of,15,14
years in Jerusalem,15,14
years old when,15,14
all the people,14,14
cities of Judah,14,14
city of David,14,14
him in the,14,14
inhabitants of Jerusalem,14,14
of David and,14,14
to the king,14,14
with his fathers,14,14
Yahweh his God,13,14
behold they are,13,14
book of the,13,14
hand of the,13,14
in the land,13,14
into the house,13,14
of all the,13,14
of the land,13,14
priests and the,13,14
the acts of,13,14
the captains of,13,14
the daughter of,13,14
and the priests,12,14
are written in,12,14
his son reigned,12,14
in the city,12,14
of the sons,12,14
out of all,12,14
reigned in his,12,14
said to them,12,14
son reigned in,12,14
all Judah and,11,14
and for the,11,14
in the book,11,14
rest of the,11,14
said to him,11,14
slept with his,11,14
the Levites and,11,14
the eyes of,11,14
the high places,11,14
the kings house,11,14
the rest of,11,14
the words of,11,14
they are written,11,14
which I have,11,14
David my father,10,14
Judah and Benjamin,10,14
Now the rest,10,14
eyes of Yahweh,10,14
his fathers and,10,14
in the eyes,10,14
in the sight,10,14
king of Assyria,10,14
kings of Israel,10,14
of it and,10,14
of the Levites,10,14
of the acts,10,14
of the children,10,14
of the people,10,14
of the priests,10,14
right in the,10,14
the altar of,10,14
the people of,10,14
the sight of,10,14
David his father,9,14
He did that,9,14
Judah and the,9,14
all the assembly,9,14
and his mothers,9,14
and they buried,9,14
buried him in,9,14
day of the,9,14
evil in the,9,14
high places and,9,14
his father had,9,14
his mothers name,9,14
mothers name was,9,14
of the city,9,14
on the altar,9,14
out of my,9,14
sight of Yahweh,9,14
the burnt offerings,9,14
the commandment of,9,14
the gods of,9,14
the name of,9,14
the princes of,9,14
the word of,9,14
them in the,9,14
they buried him,9,14
to Yahweh the,9,14
was right in,9,14
which was evil,9,14
word of Yahweh,9,14
It happened when,8,14
Jehoiada the priest,8,14
Jerusalem and he,8,14
Jerusalem and his,8,14
Thus says Yahweh,8,14
Yahweh our God,8,14
