N-gram,Count,Version
the sons of,1343,ylt
the house of,1045,ylt
sons of Israel,645,ylt
the land of,617,ylt
the hand of,508,ylt
of the sons,495,ylt
and thou hast,452,ylt
And I have,446,ylt
and all the,418,ylt
cometh to pass,413,ylt
it cometh to,412,ylt
the midst of,378,ylt
of the house,375,ylt
of the king,371,ylt
it hath been,364,ylt
the king of,353,ylt
of the land,335,ylt
the name of,323,ylt
And it cometh,318,ylt
he who is,307,ylt
in the land,301,ylt
and he hath,295,ylt
Jehovah thy God,292,ylt
according to the,288,ylt
and they have,279,ylt
the Lord Jehovah,273,ylt
And they have,271,ylt
affirmation of Jehovah,268,ylt
Jehovah of Hosts,258,ylt
and he saith,255,ylt
house of Jehovah,254,ylt
of the Lord,248,ylt
the eyes of,248,ylt
all the people,245,ylt
in the midst,233,ylt
word of Jehovah,233,ylt
I pray thee,230,ylt
there is no,229,ylt
and I have,226,ylt
the face of,226,ylt
midst of the,225,ylt
and ye have,224,ylt
land of Egypt,224,ylt
of Israel and,221,ylt
to the age,220,ylt
the word of,213,ylt
of Jehovah and,212,ylt
An affirmation of,207,ylt
and it hath,207,ylt
the days of,207,ylt
thou dost not,206,ylt
And it hath,204,ylt
God of Israel,204,ylt
Jehovah God of,204,ylt
the day of,204,ylt
Thus said Jehovah,199,ylt
the tribe of,199,ylt
of the people,197,ylt
a son of,194,ylt
and there is,193,ylt
is in the,193,ylt
saith to him,193,ylt
the king and,193,ylt
in the house,189,ylt
of the heavens,189,ylt
of all the,187,ylt
And he saith,184,ylt
the men of,183,ylt
And the king,181,ylt
to pass in,176,ylt
he hath not,174,ylt
of the earth,174,ylt
I say to,173,ylt
heads of the,173,ylt
they have not,173,ylt
of the city,172,ylt
I have given,169,ylt
because of the,169,ylt
come in unto,169,ylt
I have been,167,ylt
have known that,167,ylt
the tent of,167,ylt
that which is,166,ylt
said to them,165,ylt
they have been,165,ylt
hath not been,163,ylt
And there is,161,ylt
I have not,160,ylt
the voice of,159,ylt
the way of,159,ylt
hand of the,158,ylt
said to him,158,ylt
I  I,153,ylt
I am Jehovah,153,ylt
And thou hast,152,ylt
Jehovah saith unto,152,ylt
house of Israel,152,ylt
come to pass,151,ylt
say to you,151,ylt
that is in,151,ylt
the God of,151,ylt
the son of,151,ylt
a word of,150,ylt
an affirmation of,149,ylt
king of Judah,149,ylt
to the house,148,ylt
And Jehovah saith,147,ylt
in the eyes,147,ylt
ye do not,147,ylt
tent of meeting,145,ylt
not able to,143,ylt
that I am,142,ylt
and it is,141,ylt
and the king,140,ylt
the ark of,140,ylt
hath come to,139,ylt
Jehovah your God,138,ylt
him and he,137,ylt
said the Lord,137,ylt
the mouth of,137,ylt
and the sons,135,ylt
king of Babylon,135,ylt
king of Israel,135,ylt
there is a,135,ylt
I do not,134,ylt
in the way,134,ylt
of God and,133,ylt
