N-gram,Count,Version
And it came to pass,378,asv
of the children of Israel,156,asv
it came to pass when,155,asv
Jehovah the God of Israel,119,asv
it shall come to pass,112,asv
out of the land of,103,asv
And Jehovah spake unto Moses,98,asv
in the midst of the,94,asv
of the land of Egypt,92,asv
And he said unto them,91,asv
And it shall come to,90,asv
the word of Jehovah came,83,asv
Thus saith the Lord Jehovah,82,asv
the children of Israel and,79,asv
unto the children of Israel,77,asv
Jehovah spake unto Moses saying,75,asv
know that I am Jehovah,71,asv
And the children of Israel,69,asv
out of the hand of,69,asv
of the tent of meeting,67,asv
word of Jehovah came unto,65,asv
in the sight of Jehovah,64,asv
the house of Jehovah and,64,asv
of the house of Jehovah,63,asv
it came to pass in,61,asv
shall know that I am,61,asv
in the house of Jehovah,60,asv
into the hand of the,60,asv
in the book of the,59,asv
written in the book of,59,asv
in the land of Egypt,56,asv
evil in the sight of,55,asv
And Jehovah said unto Moses,53,asv
came to pass in the,52,asv
that which was evil in,50,asv
thus saith the Lord Jehovah,50,asv
of Jehovah came unto me,49,asv
was evil in the sight,48,asv
Thus saith Jehovah of hosts,47,asv
which was evil in the,47,asv
saith Jehovah the God of,46,asv
the door of the tent,46,asv
the people of the land,46,asv
And he said unto him,45,asv
Jehovah came unto me saying,45,asv
door of the tent of,45,asv
it came to pass as,45,asv
the tent of meeting and,44,asv
it came to pass that,43,asv
of the children of Ammon,43,asv
rest of the acts of,43,asv
the rest of the acts,43,asv
did that which was evil,42,asv
the ark of the covenant,42,asv
an offering made by fire,41,asv
his son reigned in his,41,asv
of hosts the God of,41,asv
of the hand of the,41,asv
out of the tribe of,41,asv
son reigned in his stead,41,asv
that were numbered of them,41,asv
came to pass when the,40,asv
his lovingkindness endureth for ever,40,asv
hosts the God of Israel,40,asv
tribe of the children of,40,asv
when he began to reign,40,asv
And the word of Jehovah,39,asv
Now the rest of the,39,asv
at the door of the,39,asv
those that were numbered of,39,asv
he did that which was,38,asv
it came to pass after,38,asv
shall come to pass that,38,asv
the tribe of the children,38,asv
Jehovah of hosts the God,37,asv
according to the word of,37,asv
he began to reign and,37,asv
the edge of the sword,37,asv
ark of the covenant of,36,asv
in the midst of thee,36,asv
it came to pass on,36,asv
the book of the chronicles,36,asv
to reign and he reigned,36,asv
began to reign and he,35,asv
out of the midst of,35,asv
I am Jehovah your God,34,asv
Verily I say unto you,34,asv
and the children of Israel,34,asv
book of the chronicles of,34,asv
chronicles of the kings of,34,asv
of the chronicles of the,34,asv
of the house of Israel,34,asv
the chronicles of the kings,34,asv
And he did that which,33,asv
answered and said unto them,33,asv
are they not written in,33,asv
by the way of the,33,asv
in the land of Canaan,33,asv
of the kings of Israel,33,asv
shall come to pass in,33,asv
slept with his fathers and,33,asv
the birds of the heavens,33,asv
they not written in the,33,asv
with the edge of the,33,asv
And the king said unto,32,asv
according to the number of,32,asv
among the children of Israel,32,asv
into the house of Jehovah,32,asv
not written in the book,32,asv
of the tribe of the,32,asv
ye shall know that I,32,asv
came to pass on the,31,asv
in the tent of meeting,31,asv
it came to pass at,31,asv
of our Lord Jesus Christ,31,asv
of the covenant of Jehovah,31,asv
of the house of God,31,asv
the first day of the,31,asv
the land of Egypt and,31,asv
verily I say unto you,31,asv
I say unto you that,30,asv
Jehovah thy God giveth thee,30,asv
Thus saith Jehovah the God,30,asv
be unclean until the even,30,asv
forth out of the land,30,asv
old when he began to,30,asv
saith Jehovah of hosts the,30,asv
the Holy One of Israel,30,asv
the captain of the guard,30,asv
the chief priests and the,30,asv
the children of Ammon and,30,asv
the hand of the king,30,asv
the priests and the Levites,30,asv
years old when he began,30,asv
For his lovingkindness endureth for,29,asv
all the children of Israel,29,asv
the inhabitants of the land,29,asv
And he said unto me,28,asv
according to the commandment of,28,asv
all the land of Egypt,28,asv
come to pass in that,28,asv
in the sight of the,28,asv
saith the Lord Jehovah Behold,28,asv
