N-gram,Count,Book
And it cometh to pass,24,6
out of the tribe of,22,6
the half of the tribe,19,6
half of the tribe of,18,6
of the sons of Israel,18,6
of the tribe of Manasseh,18,6
the tribe of the sons,18,6
tribe of the sons of,18,6
and the border hath gone,15,6
by the mouth of the,13,6
is the inheritance of the,13,6
it cometh to pass when,13,6
the ark of the covenant,13,6
the mouth of the sword,13,6
in the midst of the,12,6
the sons of Reuben and,12,6
of the tribe of the,11,6
of the sons of Judah,10,6
This is the inheritance of,9,6
and the half of the,9,6
and the sons of Israel,9,6
the priests bearing the ark,9,6
the sons of Gad and,9,6
the sons of Israel and,9,6
And the sons of Israel,8,6
Reuben and the sons of,8,6
and all Israel with him,8,6
and out of the tribe,8,6
and the sons of Gad,8,6
every person who is in,8,6
inheritance of the sons of,8,6
it by the mouth of,8,6
of Reuben and the sons,8,6
person who is in it,8,6
sons of Reuben and the,8,6
the inheritance of the sons,8,6
the sons of Israel have,8,6
the waters of the Jordan,8,6
And Jehovah saith unto Joshua,7,6
And out of the tribe,7,6
and its outgoings have been,7,6
and its suburbs  four,7,6
ark of the covenant of,7,6
bearing the ark of the,7,6
inheritance of the tribe of,7,6
its suburbs  four cities,7,6
mouth of the sword and,7,6
priests bearing the ark of,7,6
the inheritance of the tribe,7,6
the midst of the Jordan,7,6
Moses servant of Jehovah commanded,6,6
and every person who is,6,6
and for the sons of,6,6
is on the front of,6,6
of the covenant of Jehovah,6,6
sons of Gad and the,6,6
the border hath gone up,6,6
to the half of the,6,6
which Moses servant of Jehovah,6,6
which is on the front,6,6
 he hath not left,5,6
Gad and the half of,5,6
Jehovah your God hath given,5,6
Joshua son of Nun and,5,6
all the inhabitants of the,5,6
all the people of war,5,6
all the people who are,5,6
before the ark of Jehovah,5,6
by the hand of Moses,5,6
city of refuge for the,5,6
cometh to pass when all,5,6
for the tribe of the,5,6
in the hillcountry of Ephraim,5,6
it cometh to pass at,5,6
it cometh to pass in,5,6
of Gad and the half,5,6
of refuge for the manslayer,5,6
of the families of the,5,6
of the priests bearing the,5,6
of the tribes of the,5,6
the cities and their villages,5,6
the city of refuge for,5,6
the feet of the priests,5,6
the tribes of the sons,5,6
to pass when all the,5,6
tribes of the sons of,5,6
unto the sons of Israel,5,6
