N-gram,Count,Version
the door of the tabernacle of the congregation,45,kjv
the word of the LORD came unto me,42,kjv
word of the LORD came unto me saying,42,kjv
book of the chronicles of the kings of,34,kjv
in the book of the chronicles of the,34,kjv
the book of the chronicles of the kings,34,kjv
written in the book of the chronicles of,34,kjv
are they not written in the book of,33,kjv
the LORD of hosts the God of Israel,33,kjv
the ark of the covenant of the LORD,31,kjv
they not written in the book of the,31,kjv
saith the LORD of hosts the God of,30,kjv
when he began to reign and he reigned,30,kjv
not written in the book of the chronicles,29,kjv
years old when he began to reign and,27,kjv
it shall come to pass in that day,23,kjv
they shall know that I am the LORD,23,kjv
And it shall come to pass in that,22,kjv
he his sons and his brethren were twelve,22,kjv
kid of the goats for a sin offering,22,kjv
old when he began to reign and he,22,kjv
ye shall know that I am the LORD,22,kjv
was evil in the sight of the LORD,21,kjv
an offering made by fire unto the LORD,20,kjv
and they shall know that I am the,20,kjv
and ye shall know that I am the,20,kjv
that which was evil in the sight of,20,kjv
which was evil in the sight of the,20,kjv
And the word of the LORD came unto,19,kjv
did that which was evil in the sight,19,kjv
he did that which was evil in the,19,kjv
land which the LORD thy God giveth thee,18,kjv
of the chronicles of the kings of Israel,18,kjv
the children of Israel and say unto them,18,kjv
their families by the house of their fathers,18,kjv
Thus saith the LORD of hosts the God,17,kjv
shall come to pass in that day that,17,kjv
And he did that which was evil in,16,kjv
after their families by the house of their,16,kjv
all the congregation of the children of Israel,16,kjv
unto the door of the tabernacle of the,16,kjv
at the door of the tabernacle of the,15,kjv
of the chronicles of the kings of Judah,15,kjv
that which was right in the sight of,15,kjv
was right in the sight of the LORD,15,kjv
which was right in the sight of the,15,kjv
and the priest shall make an atonement for,14,kjv
did are they not written in the book,14,kjv
flour mingled with oil for a meat offering,14,kjv
he did are they not written in the,14,kjv
of the first year for a burnt offering,14,kjv
And it came to pass on the morrow,13,kjv
One kid of the goats for a sin,13,kjv
Speak unto the children of Israel and say,13,kjv
all that were able to go forth to,13,kjv
and upward all that were able to go,13,kjv
by fire of a sweet savor unto the,13,kjv
did evil in the sight of the LORD,13,kjv
fine flour mingled with oil for a meat,13,kjv
fire of a sweet savor unto the LORD,13,kjv
from twenty years old and upward all that,13,kjv
know that I am the LORD when I,13,kjv
lamb of the first year for a burnt,13,kjv
made by fire of a sweet savor unto,13,kjv
of fine flour mingled with oil for a,13,kjv
old and upward all that were able to,13,kjv
that were able to go forth to war,13,kjv
the land which the LORD thy God giveth,13,kjv
the priest shall make an atonement for him,13,kjv
twenty years old and upward all that were,13,kjv
unto the children of Israel and say unto,13,kjv
upward all that were able to go forth,13,kjv
years old and upward all that were able,13,kjv
And for a sacrifice of peace offerings two,12,kjv
And his host and those that were numbered,12,kjv
One young bullock one ram one lamb of,12,kjv
Those that were numbered of them even of,12,kjv
a sacrifice of peace offerings two oxen five,12,kjv
after the shekel of the sanctuary both of,12,kjv
bowl of seventy shekels after the shekel of,12,kjv
bullock one ram one lamb of the first,12,kjv
by the house of their fathers according to,12,kjv
did that which was right in the sight,12,kjv
families by the house of their fathers according,12,kjv
fathers according to the number of the names,12,kjv
five he goats five lambs of the first,12,kjv
five lambs of the first year this was,12,kjv
five rams five he goats five lambs of,12,kjv
for a sacrifice of peace offerings two oxen,12,kjv
full of fine flour mingled with oil for,12,kjv
generations after their families by the house of,12,kjv
goats five lambs of the first year this,12,kjv
he goats five lambs of the first year,12,kjv
house of their fathers according to the number,12,kjv
in water and be unclean until the even,12,kjv
lambs of the first year this was the,12,kjv
numbered of them even of the tribe of,12,kjv
of peace offerings two oxen five rams five,12,kjv
of seventy shekels after the shekel of the,12,kjv
of the first year this was the offering,12,kjv
of their fathers according to the number of,12,kjv
offerings two oxen five rams five he goats,12,kjv
one lamb of the first year for a,12,kjv
one ram one lamb of the first year,12,kjv
oxen five rams five he goats five lambs,12,kjv
peace offerings two oxen five rams five he,12,kjv
ram one lamb of the first year for,12,kjv
rams five he goats five lambs of the,12,kjv
sacrifice of peace offerings two oxen five rams,12,kjv
say unto them Thus saith the Lord GOD,12,kjv
seventy shekels after the shekel of the sanctuary,12,kjv
shall know that I am the LORD when,12,kjv
shekels after the shekel of the sanctuary both,12,kjv
silver bowl of seventy shekels after the shekel,12,kjv
that were numbered of them even of the,12,kjv
the first year this was the offering of,12,kjv
the house of their fathers according to the,12,kjv
the shekel of the sanctuary both of them,12,kjv
their fathers according to the number of the,12,kjv
their generations after their families by the house,12,kjv
thus saith the LORD of hosts the God,12,kjv
two oxen five rams five he goats five,12,kjv
were numbered of them even of the tribe,12,kjv
young bullock one ram one lamb of the,12,kjv
And it came to pass at the end,11,kjv
according to the number of the names from,11,kjv
all that he did are they not written,11,kjv
an hundred and thirty shekels one silver bowl,11,kjv
and all that he did are they not,11,kjv
and in his course were twenty and four,11,kjv
and thirty shekels one silver bowl of seventy,11,kjv
behold they are written in the book of,11,kjv
both of them full of fine flour mingled,11,kjv
by their generations after their families by the,11,kjv
door of the tabernacle of the congregation and,11,kjv
from the east side unto the west side,11,kjv
his clothes and bathe himself in water and,11,kjv
hundred and thirty shekels one silver bowl of,11,kjv
in his course were twenty and four thousand,11,kjv
it came to pass at the end of,11,kjv
number of the names from twenty years old,11,kjv
of the names from twenty years old and,11,kjv
of the sanctuary both of them full of,11,kjv
of them full of fine flour mingled with,11,kjv
one silver bowl of seventy shekels after the,11,kjv
sanctuary both of them full of fine flour,11,kjv
shekel of the sanctuary both of them full,11,kjv
shekels one silver bowl of seventy shekels after,11,kjv
that he did are they not written in,11,kjv
the names from twenty years old and upward,11,kjv
the number of the names from twenty years,11,kjv
the sanctuary both of them full of fine,11,kjv
them full of fine flour mingled with oil,11,kjv
they are written in the book of the,11,kjv
thirty shekels one silver bowl of seventy shekels,11,kjv
to the number of the names from twenty,11,kjv
wash his clothes and bathe himself in water,11,kjv
with his fathers in the city of David,11,kjv
And he did that which was right in,10,kjv
Jehoiakim the son of Josiah king of Judah,10,kjv
Moreover the word of the LORD came unto,10,kjv
One golden spoon of ten shekels full of,10,kjv
and bathe himself in water and be unclean,10,kjv
and purple and scarlet and fine twined linen,10,kjv
bathe himself in water and be unclean until,10,kjv
blue and purple and scarlet and fine twined,10,kjv
children of Israel and say unto them When,10,kjv
clothes and bathe himself in water and be,10,kjv
evil in the sight of the LORD and,10,kjv
golden spoon of ten shekels full of incense,10,kjv
he did that which was right in the,10,kjv
himself in water and be unclean until the,10,kjv
it came to pass on the morrow that,10,kjv
names from twenty years old and upward all,10,kjv
slept with his fathers and they buried him,10,kjv
that the word of the LORD came unto,10,kjv
the anger of the LORD was kindled against,10,kjv
the offerings of the LORD made by fire,10,kjv
the sins of Jeroboam the son of Nebat,10,kjv
the word of the LORD which he spake,10,kjv
to the right hand or to the left,10,kjv
And the LORD spake unto Moses and unto,9,kjv
And the angel of the LORD said unto,9,kjv
Jeroboam the son of Nebat who made Israel,9,kjv
an offering made by fire of a sweet,9,kjv
and those that were numbered of them were,9,kjv
come to pass in that day that the,9,kjv
days come saith the LORD that I will,9,kjv
grace of our Lord Jesus Christ be with,9,kjv
his host and those that were numbered of,9,kjv
host and those that were numbered of them,9,kjv
hosts the God of Israel Behold I will,9,kjv
in the sight of the LORD according to,9,kjv
is good for his mercy endureth for ever,9,kjv
of Jehoiakim the son of Josiah king of,9,kjv
of hosts the God of Israel Behold I,9,kjv
offering made by fire of a sweet savor,9,kjv
shall wash his clothes and bathe himself in,9,kjv
sight of the LORD according to all that,9,kjv
the LORD spake unto Moses and unto Aaron,9,kjv
the days come saith the LORD that I,9,kjv
the sight of the LORD according to all,9,kjv
the treasures of the house of the LORD,9,kjv
was an hundred and thirty shekels one silver,9,kjv
you and peace from God our Father and,9,kjv
And he said unto me Son of man,8,kjv
And it came to pass after these things,8,kjv
And it came to pass after this that,8,kjv
And over the host of the tribe of,8,kjv
I will not turn away the punishment thereof,8,kjv
Johanan the son of Kareah and all the,8,kjv
LORD of hosts the God of Israel Behold,8,kjv
LORD spake unto Moses and unto Aaron saying,8,kjv
The grace of our Lord Jesus Christ be,8,kjv
Thus saith the LORD For three transgressions of,8,kjv
a land that floweth with milk and honey,8,kjv
a sin offering beside the continual burnt offering,8,kjv
according to the word of the LORD which,8,kjv
and all the people that were with him,8,kjv
and for four I will not turn away,8,kjv
charger the weight whereof was an hundred and,8,kjv
children of Reuben and the children of Gad,8,kjv
for a sin offering beside the continual burnt,8,kjv
for four I will not turn away the,8,kjv
four I will not turn away the punishment,8,kjv
he is good for his mercy endureth for,8,kjv
host of the tribe of the children of,8,kjv
in the cities of Judah and in the,8,kjv
into the hand of the king of Babylon,8,kjv
it came to pass after these things that,8,kjv
of Jeroboam the son of Nebat who made,8,kjv
on the one side and on the other,8,kjv
one silver charger the weight whereof was an,8,kjv
out of the hand of the king of,8,kjv
over the host of the tribe of the,8,kjv
saith the Lord GOD Behold I am against,8,kjv
silver charger the weight whereof was an hundred,8,kjv
son of Nebat who made Israel to sin,8,kjv
the children of Reuben and the children of,8,kjv
the host of the tribe of the children,8,kjv
the service of the house of the LORD,8,kjv
the son of Nebat who made Israel to,8,kjv
the weight whereof was an hundred and thirty,8,kjv
thou shalt know that I am the LORD,8,kjv
weight whereof was an hundred and thirty shekels,8,kjv
whereof was an hundred and thirty shekels one,8,kjv
which the LORD thy God giveth thee for,8,kjv
will not turn away the punishment thereof because,8,kjv
with his fathers and they buried him in,8,kjv
written in the book of the kings of,8,kjv
And it came to pass in those days,7,kjv
Behold the days come saith the LORD that,7,kjv
Gedaliah the son of Ahikam the son of,7,kjv
God of Isaac and the God of Jacob,7,kjv
He that hath an ear let him hear,7,kjv
His offering was one silver charger the weight,7,kjv
Kareah and all the captains of the forces,7,kjv
LORD thy God giveth thee for an inheritance,7,kjv
Then came the word of the LORD unto,7,kjv
Therefore thus saith the Lord GOD Behold I,7,kjv
This is the inheritance of the tribe of,7,kjv
according to those that were numbered of them,7,kjv
an ear let him hear what the Spirit,7,kjv
an holy convocation ye shall do no servile,7,kjv
and five years old when he began to,7,kjv
and for the lambs shall be according to,7,kjv
and put it upon the horns of the,7,kjv
and was buried with his fathers in the,7,kjv
be according to their number after the manner,7,kjv
behold the days come saith the LORD that,7,kjv
buried with his fathers in the city of,7,kjv
