of the,11428
the LORD,5855
in the,4880
and the,4044
shall be,2461
And the,2220
to the,2125
all the,2075
unto the,2020
I will,1922
of Israel,1692
said unto,1643
And he,1618
out of,1478
for the,1400
son of,1398
children of,1392
the children,1306
the son,1304
the king,1301
the land,1252
the people,1198
and he,1172
the house,1170
and they,1155
from the,1140
unto him,1126
of his,1109
I have,1062
into the,1045
thou shalt,1015
of God,983
unto them,968
house of,955
with the,950
by the,941
upon the,940
And they,931
and his,914
saith the,891
that he,885
they shall,884
and said,869
him and,855
on the,854
and all,842
king of,842
the earth,834
he shall,829
came to,806
and to,805
and I,778
that I,766
I am,738
shall not,737
And when,714
the Lord,713
that the,706
according to,699
he said,691
is the,686
in his,678
to pass,676
that is,670
them and,667
unto me,667
of them,662
thou hast,662
ye shall,649
before the,646
that they,646
of thy,643
land of,639
them that,629
as the,621
And it,612
it shall,604
sons of,594
it is,586
which is,584
unto you,575
to be,570
he that,549
and of,542
all that,538
when he,537
and in,536
the city,525
of Judah,523
LORD and,516
the sons,515
of their,509
a man,508
for a,504
that thou,501
thee and,498
unto thee,493
me and,491
at the,488
that were,483
And I,478
God of,476
with him,476
he hath,472
he had,469
him that,469
of all,465
of my,463
it came,460
the kings,454
he was,445
and a,440
of a,439
hand of,427
of Egypt,421
the word,419
the hand,416
against the,415
when the,413
they were,403
and their,401
men of,398
shall come,396
the day,395
will I,394
for ever,389
God and,386
it was,383
say unto,383
that which,380
when they,380
that ye,379
come to,370
not be,370
that are,370
the priest,368
it and,365
and shall,364
the midst,364
the men,363
among the,361
to his,361
and with,358
the way,358
word of,357
and thy,352
is a,352
which was,352
thy God,351
is in,350
they have,347
and for,343
will not,343
and thou,340
Israel and,338
and it,334
with a,333
is not,331
as a,329
the congregation,328
in their,326
there is,326
to him,319
and there,318
and that,317
there was,316
in a,315
midst of,315
day of,314
the law,314
but the,313
he is,312
this day,310
the sea,309
not the,308
the priests,307
round about,306
Thus saith,305
every one,305
the name,305
LORD thy,304
the man,304
O LORD,302
in all,297
name of,296
which he,296
all his,295
The LORD,294
one of,294
ye have,292
are the,291
Lord GOD,290
the first,290
they are,290
the same,288
the tabernacle,286
of hosts,285
and my,284
and let,282
which the,281
after the,279
which I,279
with thee,279
for I,278
the days,277
the altar,276
the sword,275
For the,274
be a,274
LORD hath,273
and ye,273
know that,273
the wilderness,273
with his,273
for he,272
spake unto,271
was the,270
of man,266
that was,266
LORD of,264
with them,263
every man,260
his hand,260
you and,260
him to,259
they had,258
his own,257
these things,257
in thy,255
shalt thou,255
they that,254
shalt not,253
people and,252
and behold,250
of it,250
a great,247
to do,247
up the,247
the God,246
and went,245
and will,245
And thou,244
for his,244
of him,244
thou art,244
may be,243
the Philistines,243
the Levites,242
for they,239
have not,239
the wicked,239
Judah and,238
LORD God,238
in my,238
the other,238
hand and,237
that we,237
unto his,237
of your,236
up and,236
Thou shalt,235
his father,233
his son,233
as he,231
house and,231
them in,230
it be,229
the world,229
days of,228
no more,228
which are,228
because of,227
was a,227
with me,227
my people,226
over the,226
them to,226
that day,225
to all,224
he will,223
no man,221
to them,221
went out,221
And there,220
and have,220
the field,220
the chief,219
the ark,218
the Jews,213
I say,212
Then said,212
thereof and,212
And if,210
all things,210
I pray,209
be the,208
the kingdom,208
And all,207
have I,207
his sons,207
of David,207
tribe of,207
him in,206
said I,206
am the,205
unto Moses,205
our God,204
the words,204
which were,204
And Moses,203
But the,203
LORD said,203
Son of,203
up to,203
and be,202
of our,200
voice of,199
and put,198
earth and,198
that it,198
the cities,198
which thou,198
and upon,197
and when,197
we have,197
Jesus Christ,196
Behold I,195
of this,195
with all,195
through the,193
cut off,192
me to,191
sons and,190
toward the,189
let him,188
and from,187
man of,187
with their,187
answered and,186
the morning,186
And David,185
He that,185
he went,185
said to,185
the voice,185
words of,185
burnt offering,184
there shall,183
to me,183
upon him,183
was in,183
This is,182
shall the,182
upon them,182
when I,182
with her,182
Then the,181
man that,181
saith unto,181
came unto,180
shall he,180
the place,180
went up,180
your God,180
but he,179
the tribe,179
they said,179
unto her,179
the blood,178
the inhabitants,178
so that,177
I shall,176
LORD shall,176
of her,176
an hundred,175
daughter of,175
tabernacle of,175
full of,173
inhabitants of,173
city and,172
pray thee,172
God hath,171
heaven and,171
the high,171
the temple,171
to their,171
dwell in,170
hundred and,170
in that,170
people that,170
the nations,170
the sight,170
with you,169
and not,168
of Babylon,168
of heaven,168
they may,168
and brought,167
kings of,167
man and,167
pass when,167
right hand,167
of Jerusalem,166
sight of,166
thee to,166
they went,166
Jerusalem and,165
shall ye,165
the time,165
the waters,165
to go,164
way of,164
his name,163
I may,162
and took,162
their fathers,162
those that,162
and as,161
and she,161
for all,161
in Jerusalem,161
people of,161
the gate,161
were in,161
end of,160
offering and,160
the Son,160
the prophet,160
thy servant,160
day that,159
his people,159
of gold,159
that hath,159
the door,159
they came,159
because he,158
the third,158
the work,158
under the,158
unto all,158
upon his,158
and came,157
down to,157
he did,157
of men,157
the whole,157
God is,156
It is,156
for it,156
his brethren,156
is no,156
of you,156
the flesh,156
his house,155
