of the LORD,1593
the son of,1289
the children of,1254
the house of,881
out of the,794
children of Israel,644
the land of,615
saith the LORD,614
the sons of,502
unto the LORD,489
the LORD and,480
came to pass,457
said unto him,454
And he said,452
it came to,452
and I will,444
the king of,426
and all the,412
And the LORD,405
the hand of,391
And it came,384
said unto them,364
of the children,359
of the house,349
the word of,325
in the land,323
it shall be,320
and they shall,319
of the land,315
the midst of,315
according to the,314
and said unto,314
of the earth,299
LORD thy God,296
the LORD thy,296
the name of,292
Thus saith the,291
all the people,285
he said unto,283
house of the,283
word of the,266
before the LORD,264
the Lord GOD,262
in the midst,255
LORD of hosts,244
the LORD of,241
saith the Lord,240
the God of,231
And I will,228
the men of,228
and in the,227
land of Egypt,227
shall not be,227
the LORD hath,225
the days of,216
And thou shalt,212
of Israel and,206
and thou shalt,204
of the people,204
God of Israel,203
I am the,202
and he shall,197
the LORD said,194
and of the,190
which the LORD,190
the LORD God,187
name of the,183
LORD God of,182
the earth and,181
answered and said,180
hand of the,177
the tribe of,176
of the congregation,174
the tabernacle of,174
the voice of,170
of the city,168
And the king,167
to pass when,167
And when he,165
and ye shall,165
in the house,165
the sight of,165
that the LORD,164
the day of,163
I pray thee,162
come to pass,161
am the LORD,159
day of the,159
in the sight,159
and to the,156
said unto the,156
LORD said unto,155
in the day,155
in the wilderness,155
of all the,155
they shall be,155
the inhabitants of,154
the words of,154
tabernacle of the,153
And when the,152
house of Israel,152
and it shall,150
And all the,149
I say unto,149
of the Lord,149
the priest shall,149
Son of man,148
shall come to,148
And it shall,147
king of Judah,146
midst of the,146
the way of,146
I will not,145
LORD your God,145
of Judah and,145
the LORD shall,145
of them that,144
the LORD your,144
the kings of,144
the LORD spake,142
that they may,141
the daughter of,140
the ark of,139
thus saith the,139
of God and,138
for the LORD,137
say unto you,137
of the kings,135
to pass that,134
that I may,133
And when they,132
king of Israel,131
the people of,131
is in the,130
the kingdom of,128
thou shalt not,128
king of Babylon,127
shall be a,127
that I am,127
the Son of,127
him and he,126
it shall come,126
of the sons,126
that which is,126
as the LORD,125
and for the,124
and the LORD,124
the people that,124
LORD spake unto,123
into the hand,123
of the king,123
of the tabernacle,121
the people and,119
when he had,119
the LORD that,118
And the sons,116
And he shall,115
the LORD came,115
Thou shalt not,112
and all that,112
the city and,112
the king and,112
one of the,111
spake unto Moses,111
I will make,110
and he that,110
of the tribe,110
the cities of,110
And the children,109
This is the,109
said unto me,109
know that I,108
the face of,107
And they shall,106
out of his,106
them in the,106
because of the,105
of the Philistines,104
the LORD is,104
the glory of,104
there is no,104
in the morning,103
of the wicked,103
the work of,103
I will bring,102
according to all,102
that is in,102
the blood of,102
The children of,101
he shall be,101
of the field,101
sight of the,101
the book of,101
written in the,101
And they said,100
the LORD commanded,100
the LORD for,100
ark of the,98
the LORD had,98
the city of,98
unto the children,98
unto the king,98
which is in,98
LORD our God,97
by the way,97
in the way,97
which I have,97
the rest of,96
them and they,96
that they should,95
the law of,95
there shall be,95
to the king,95
unto him and,95
upon the earth,95
I will give,94
of their fathers,94
the family of,94
forth out of,93
in all the,93
into the house,93
people of the,93
when they had,93
every one that,92
that he may,92
the land which,92
that I have,91
that thou hast,91
the door of,91
the elders of,91
which thou hast,91
house of God,90
that which was,90
voice of the,90
children of Ammon,89
in the book,89
said unto her,89
according to their,88
in the days,88
into the land,88
to pass in,88
of Egypt and,87
of the sea,87
the Holy Ghost,87
the LORD was,87
the LORD will,87
there was a,87
thou shalt be,87
unto this day,87
with her suburbs,87
family of the,86
him in the,86
that he had,86
the head of,86
and the people,85
land of the,85
the LORD our,85
Behold I will,84
rest of the,84
the end of,84
the number of,84
them that are,84
to them that,84
way of the,84
And ye shall,83
Lord Jesus Christ,83
king of Assyria,83
of the world,83
the LORD the,83
the LORD to,83
ye shall be,83
book of the,82
door of the,82
shall know that,82
that ye may,82
was the son,82
with him and,82
of him that,81
shall be the,81
and from the,80
and the children,80
of the first,80
these are the,80
and all his,79
in that day,79
the mouth of,79
the top of,79
to the LORD,79
upon the altar,79
and they that,78
by the hand,78
for it is,78
that were with,78
the day that,78
the priests and,78
this is the,78
unto Moses saying,78
when he was,78
all the congregation,77
and his sons,77
and upon the,77
angel of the,77
him and said,77
man of God,77
side of the,77
the LORD in,77
the king said,77
the sword and,77
to all that,77
were with him,77
These are the,76
for ever and,76
in the city,76
the LORD which,76
the multitude of,76
they shall not,76
in the field,75
of the hand,75
out of Egypt,75
the father of,75
which was the,75
it is written,74
me and I,74
of the law,74
the angel of,74
the fruit of,74
the time of,74
all the land,73
he that is,73
in his stead,73
that thou mayest,73
that we may,73
the congregation of,73
the princes of,73
the valley of,73
to the house,73
unto all the,73
was in the,73
down to the,72
the land and,72
thou shalt make,72
but he that,71
captain of the,71
for I am,71
him that is,71
unto me and,71
up out of,71
And the priest,70
I will be,70
dwell in the,70
face of the,70
it is a,70
say unto them,70
that he hath,70
the eyes of,70
the host of,70
to him that,70
against the LORD,69
an hundred and,69
by the sword,69
chief of the,69
for I have,69
in his hand,69
kingdom of God,69
of the Jews,69
the sea and,69
there is none,69
there was no,69
a man of,68
his sons and,68
saith unto him,68
saith unto them,68
them into the,68
unto me saying,68
were in the,68
And there was,67
all that he,67
even unto the,67
of the covenant,67
put to death,67
shall be in,67
the commandment of,67
the families of,67
the heart of,67
the presence of,67
the spirit of,67
to all the,67
and say unto,66
in the earth,66
land of Canaan,66
said unto Moses,66
that were numbered,66
the first year,66
the man of,66
words of the,66
LORD and the,65
according to his,65
be put to,65
the burnt offering,65
the hands of,65
them out of,65
And in the,64
LORD came unto,64
a burnt offering,64
a sin offering,64
and let us,64
and on the,64
and with the,64
in the name,64
me in the,64
reigned in his,64
that he might,64
that they might,64
the other side,64
And it was,63
all the earth,63
and there was,63
for all the,63
he shall not,63
made by fire,63
of the altar,63
that I will,63
the border of,63
the chief of,63
the gate of,63
the high places,63
the tribes of,63
unto the people,63
and came to,62
and when he,62
as it is,62
came to the,62
in the LORD,62
is he that,62
men of Israel,62
men of the,62
that were in,62
the servants of,62
And David said,61
And he took,61
an atonement for,61
and out of,61
and there is,61
be cut off,61
said I will,61
said unto his,61
the chief priests,61
when they were,61
ye shall not,61
all the days,60
all the men,60
he began to,60
house of their,60
say unto him,60
shall be as,60
the house and,60
thee in the,60
and he was,59
and the king,59
children of the,59
from the LORD,59
one of them,59
that he was,59
the high priest,59
the man that,59
the right hand,59
I have not,58
The sons of,58
Therefore thus saith,58
and he said,58
